rep,placebo_func,placebo_bhci
190,0.004876614193413286,0.008206119824765943
191,0.006002007349823558,3.643501944328589e-4
192,0.008784163470783864,0.002362104267893736
193,-0.009697524975103596,0.004425208527790497
194,0.030558758094860975,0.017584970982470968
195,0.005399184959288555,7.792295058974964e-4
196,-0.0026290177030366,-0.006651463090320327
197,-0.008167716094668695,-0.0027438484993526084
198,-7.843377116913964e-4,0.0036212412990220964
199,0.018307292702693462,0.009398352860995269
200,-0.004471030686537795,0.0034369623310692293
201,-0.0023361392625914574,-0.0072328975872277546
202,-0.01107721400890223,-0.005468207459161838
203,0.007285226190533542,0.006431473063469396
204,0.006736503191345006,-0.0028448756498377793
205,-0.002612007199411508,-0.013172863827716584
206,0.007527274932671449,0.004292611748602522
207,-0.0026773274115121696,-0.00426616516782989
208,0.009126676336015082,0.005931209207148682
209,-0.0029246197674155346,0.007535741668557243
210,0.010465960677950635,0.011536345284145271
211,-0.016966383928366285,-0.012318458338839069
212,-0.01074101671508891,-0.007486876320725856
213,-0.0050169908036584296,0.002052623585474876
214,0.01045556481618061,0.00446607549140433
215,0.008787910486020716,0.004956307325138309
216,0.002721624518792084,-0.003536259647691207
217,-0.01911822770326983,-0.004860740470491896
218,-0.017241351855028696,-0.00254308829737991
219,0.0023759044371783116,4.644174846679046e-5
220,0.015540783396433645,0.0014714746730404933
221,0.0026467193483478424,3.811925145915676e-4
222,0.002161444378248928,5.602165103255657e-4
223,-0.004374596292860457,0.002704170083638725
224,0.008847405625722109,0.005680208828045148
225,-0.006035513680855921,-0.002883504067975274
226,-0.001266327256305456,-0.006893202020614664
227,-0.017523857782170804,-0.014211027288531877
228,-8.891256449365453e-5,-0.009785718416755813
229,0.015754871235790342,-0.004586737123626884
230,-0.011419641450088655,-8.535528817366216e-4
231,-0.015703651040141733,-0.005441078793263412
232,0.004681012808333094,9.462374090338485e-4
233,0.010941067563806653,0.005735475976341034
234,0.004485761843228422,-0.0025263871019365006
235,0.014166234663676421,0.011335335838253904
236,-0.006528874628130247,-0.0038510674813890086
237,0.026453976053419707,0.0056758642206219964
238,-0.01312046191536209,5.806706970807298e-5
239,0.0018352959906445922,0.008471144255577438
240,-0.01884716299589019,-0.007056278152933668
241,8.511882792350801e-4,0.0028875305009710517
242,-0.010284762372524084,-0.01047420954514946
243,-0.007577688296493252,-0.006120665481972319
244,0.027204144341343304,0.007400832884990028
245,-0.00609905803809341,-0.006893663213012709
246,-0.005964754462100522,-0.0011402877082674946
247,0.01712059813346776,0.0030444235066994976
248,-0.0025719086098804095,1.0527722991480288e-4
249,-4.439453839079724e-4,0.006924940718672799
250,0.014012433618251337,0.003149321999141657
251,0.003741963933346448,0.003163069969559007
252,-0.014199008317499479,-0.002899689033544022
253,-0.016500835452773116,-0.0020804027565121844
254,-0.007362295882851056,-0.0020183530644014257
255,-0.01404740495407475,0.003153404420439209
256,0.007449580682287498,0.0030638238903030524
257,-0.01332440727433529,-0.00569402064324913
258,3.272829212237217e-4,0.009888198836731737
259,0.0016221189494830977,0.004961681616502992
260,-0.01982733967734368,-0.007826352229937737
261,-0.009801944292182277,-0.006930974655497448
262,-0.015378291360548836,-0.006970530488648481
263,0.0020955560405441255,6.054202991615908e-4
264,0.003929919541687323,-7.525592291649434e-4
265,0.01190194813397479,0.005176769970272077
266,0.010937647743173044,-0.006602381778863163
267,-0.011553687189554816,-0.005319585935562414
268,0.02723227576542606,-0.0015590638558508733
269,-0.006796941155455367,4.216875237202077e-4
270,-0.015393932088516343,0.0018281921682709776
271,0.0017659094125084748,-1.4832247666771164e-4
272,9.992079339120647e-4,-0.011964298525789036
273,0.003450311864182736,-0.003000262132039611
274,-0.009147250790169039,0.0020291987435454525
275,-0.016032384807592417,-0.008506148721778085
276,0.007583474185884031,-0.0017360351195670792
277,0.014262435737519317,0.008317169022492223
278,0.005088843794469965,-0.003842292679303909
279,-0.005378555026703101,-4.153201658895818e-4
280,0.03583727464374236,0.012856630468841517
281,-0.017200503934063735,-0.004810290255308275
282,0.009445747216558232,-0.006375236656309001
283,0.0019483652488472725,-0.006045889457281912
284,-0.0012937639114701204,0.007286191319160472
285,0.01809007404276864,0.00472767254917091
286,0.011736892514389884,0.0013089790818017171
287,-0.010087855284484947,0.010179470994853184
288,-8.158649544352531e-4,0.012674644122113542
289,0.007013245396141228,0.004372938815817345
290,-4.20365535633748e-4,0.004891136328996635
291,0.004481081205895426,-5.599687950968014e-4
292,0.0014064057313042716,0.0050508521604766925
293,0.010103077592722243,-0.004546647671401762
294,0.005924739300459395,-0.0013741435780405997
295,0.0017641903505561012,-0.006121860312730923
296,0.0176784663314088,0.008516377102666584
297,-0.012719036606513195,-0.0031823666673983153
298,0.004148355928464555,-0.0032096506956581787
299,-0.009270545902951108,-0.006060828025426685
300,0.025203435739262283,0.016502829168875688
301,-0.002190760541971892,-0.0013309298073608787
302,-0.011486839402272554,-0.0018233037194336714
303,-0.0016222284372803821,-0.0014421115920826614
304,0.0066772841636404635,0.008267340781959207
305,0.008285884802922376,0.0010291751788339973
306,-0.006547477962306946,-0.005157468592335967
307,-0.012184207973235297,0.0037749792610992337
308,-0.008375076519168146,-0.0033724843551183534
309,-0.02469945419836011,-0.009567632641891607
